X;Y;osm_id;ref_cnc;name;marque;wheelchair;opening_hours;open_air;drive_in;cinema3d;nb_screens;capacity;acoustic;website;phone;facebook;wikidata;siret;com_insee;com_nom
-2.24079444220196;47.0051049281555;way/67872562;"292231";Le Mimosa;;;;;;;"2";"500";;;;https://www.facebook.com/cin%C3%A9ma-le-MIMOSA-107832345908627/;;;"85163";Noirmoutier-en-l'Île
1.9503180073814;43.3209366504625;way/951501975;;Cinéma Véo Castelnaudary;;yes;;;;;;;;https://www.veocinemas.fr/veo-castelnaudary/;;;;;"11076";Castelnaudary
5.9130646;45.5586212004054;node/7632485454;"202891";Espace culturel;;;;;;;;;;http://www.univercine.fr/;;;;;"73137";Jacob-Bellecombette
6.46732594890564;46.3528683347246;way/183819239;"426924";Ciné Léman;;;"Mo-Sa 13:30-22:15; Su 10:30-22:15";;;no;"8";;;http://www.cineleman.fr/;+33 4 50 70 00 90;https://www.facebook.com/cinelemanthonon;;"79608061200016";"74281";Thonon-les-Bains
4.7544059;45.8121479003706;node/7649509120;"136201";L'Aqueduc;;;;;;no;"1";"271";;;;;;;"69072";Dardilly
3.08370146190184;50.3643242710108;way/232320702;;Cinéma Paul Desmarets;;;;;;;;;;;;;;;"59178";Douai
4.834979576549;45.0658437686579;way/104681592;"431551";Ciné Théâtre;;;;;;yes;"2";"285";;;;;;;"07324";Tournon-sur-Rhône
6.23617427660671;43.5618166787509;way/396556703;"350023";La Tomette;;;;;;no;"1";"172";;;;;;;"83121";Salernes
3.0743783;50.6236732993193;node/6394318475;;L'Univers;L'Univers(Cité);;;;;;"1";;;http://lunivers.org/;+33 3 20 52 73 48;;;;"59350";Lille
6.8943582;49.1849958996466;node/1318836384;"164811";Le Paris;;;;;;yes;"5";"774";;;;;;;"57227";Forbach
-1.61113097015415;49.641487399103;way/112111939;"109836";CGR Cherbourg;CGR;yes;;;;yes;"12";"2536";;https://www.cgrcinemas.fr/cherbourg/;;;Q2931406;;"50129";Cherbourg-en-Cotentin
5.8915593;44.687793800495;node/8037643609;"701401";La Tanière;;;;;;;;;;;;;;;"05139";Le Dévoluy
6.0200558;45.4320407004213;node/191949783;"318981";Cinéma Jean Renoir;;;;;;yes;"1";"288";;;;;;;"38314";Pontcharra
5.448966;43.5265160005418;node/1723740874;"13405";Le Renoir;;;;;;yes;"3";"431";;;;;Q42294666;;"13001";Aix-en-Provence
7.323014;48.1945514998909;node/8036553952;"336732";Rex;;;;;;;;;;;;;;;"68269";Ribeauvillé
3.2942726;47.7358744999998;node/8193455876;;cinéma lux de Toucy;;;Th-Tu 19:30-18:00+;;;;;;;;;;Q61860147;;"89419";Toucy
4.7099047;48.2303839998822;node/1280450933;"40293";Le Vagabond;;;;;;yes;"2";"439";;;;;;"80316313800016";"10033";Bar-sur-Aube
0.870297785772444;46.4249797556988;way/63547194;"274732";Le Majestic;;;;;;yes;"1";"166";;;;;;;"86165";Montmorillon
5.00184865785288;43.5817393859029;way/86073446;;Le Comedia;;;;;;;;;;;;;;;"13063";Miramas
5.6332126;45.5998853004;node/7746296468;"387191";Cinéma Atmosphère;;;;;;yes;"1";"147";;https://saint-genix-sur-guiers.net/culture-et-loisirs/cinema/;+33 4 76 06 43 75;CinemaAtmosphere;Q61859310;;"73236";Saint-Genix-les-Villages
2.2500044830647;48.5908695299351;way/136136345;"24753";Star Arpajon;;;;;;;;;;;;;;;"91021";Arpajon
-1.9922806486691;47.8910028438708;way/116333653;;L'Aurore;;;;;;;;;;https://www.cinemaurore.com/;+33 299221197;;;;"35168";Val d'Anast
5.5878194;47.4487157000651;node/457464093;"184581";Cinémavia;;;;;;yes;"2";"252";;;;;;;"70279";Gray
-0.2652235;43.69999640054;node/4039962775;"13151";Cinéma Galaxie;;;;;;yes;"2";"444";;https://www.allocine.fr/seance/salle_gen_csalle=P0343.html;+33 5 58 71 98 28;;;;"40001";Aire-sur-l'Adour
6.90217388562579;45.4583899502399;way/767816145;"428103";Cinéma de Tignes;;;10:00-19:00;;;;;;;https://www.tignes.net/activites/loisirs/cinema;+33 4 79 06 66 62;;;;"73296";Tignes
1.3986577;43.5643018005415;node/846846705;"430404";Le métro;;;;;;;;;;;;;;;"31555";Toulouse
5.7276409;45.1930063004487;node/3096063476;;Salle Juliet Berto - CinéClub Cinémathèque de Grenoble;;;;;;;;;;http://www.ccc-grenoble.fr;;;;;"38185";Grenoble
-1.75466590854986;48.5461203475843;way/90532391;"139503";Cinédol;;;;;;;;;;;;;;;"35095";Dol-de-Bretagne
6.17479520430263;48.6178297827347;way/122581472;"236001";UGC Cinécité Ludres;UGC;yes;;;;;"14";;voice_description;https://www.ugc.fr/cinema.html?id=29;;https://www.facebook.com/UGCcinecite.Ludres/;Q1643241;;"54328";Ludres
2.30651139116557;49.8897797005029;way/139420815;"17326";Gaumont;Pathé Gaumont;;;;;yes;"12";"2682";;https://www.cinemaspathegaumont.com/;;;Q3060526;;"80021";Amiens
1.77641201730013;45.2725153633851;way/667327797;"436927";Véo Tulle;;;;;;yes;"5";"708";;;;;;;"19272";Tulle
2.3719469;48.8475200997301;node/530272920;"6531";UGC Lyon Bastille;UGC;;;;;;"7";"1274";voice_description;https://www.ugc.fr/cinema.html?id=11;+331 46 37 28 24;https://www.facebook.com/UGCLyonBastille/;Q42296579;;"75056";Paris
-0.0369066;44.5822357005027;node/1733487823;"335303";Cinéma Rex;;;"Mo-Su 18:00-23:00; We 14:30-23:00; Sa-Su 14:30-23:00";;;yes;"1";"249";;;;;;;"33352";La Réole
-1.6726631;48.1077965999119;node/7724569361;"335055";Ciné TNB;;;;;;;;"495";;https://www.t-n-b.fr/programmation/cinema;+33 2 99 31 12 31;;Q97461320;"37921397800016";"35238";Rennes
-1.03952250049892;46.6901168287785;way/688809820;"99051";Ciné Lumière;Cinéode;yes;;;;no;"1";"160";;https://www.cineode.fr/chantonnay-lumiere/;;;Q97017093;;"85051";Chantonnay
3.9587635;49.045772399681;node/471542186;"147971";Cinéma Le Palace;;;;;;no;"7";"1176";;;;;;;"51230";Épernay
2.44777775587323;48.5628241595055;way/588794797;"256983";Cinéma Confluences;;;;;;;;;;;;;;"81767008600039";"91386";Mennecy
4.2904544599118;45.1135617245958;way/438828232;"423422";Ciné Tence;;;;;;yes;"1";"172";;;;;;"77916054800011";"43244";Tence
6.0577325;46.4840238002611;node/6052687174;"345631";Les Quinsonnets;;;;;;;"2";"291";;http://www.allocine.fr/seance/salle_gen_csalle=W0486.html;+33 3 84 60 30 09;Cinéma-Les-Quinsonnets-951193165025775;Q61860500;;"39470";Les Rousses
-0.938563114046474;45.3077770657949;way/208952592;"223612";Cinéma Jean Dujardin;;;;;;yes;"1";"212";;;;;;;"33240";Lesparre-Médoc
3.2890379;49.8468492994875;node/447754626;;;;;;;;;;;;;;;;;"02691";Saint-Quentin
2.4320012;44.277954300521;node/7612263726;"38501";Le fauteuil rouge;;;;;;;;;;http://www.allocine.fr/seance/salle_gen_csalle=W2121.html;;;Q61858986;;"12056";Baraqueville
-1.5592328;43.4813481005419;node/1692957698;"54891";Le Royal;;;;;;no;"3";"458";;;;;;;"64122";Biarritz
6.23565355341359;46.1964585059524;way/882873183;;Studio 6;Ciné Monde;yes;;;;yes;"6";"880";;https://www.cinemonde.fr/studio-six-annemasse/;;https://www.facebook.com/cinecluses/;;"38272584400023";"74012";Annemasse
0.5460603;48.5206609998111;node/1589818185;"278721";Étoile;;;;;;yes;"1";"146";;;;;;;"61293";Mortagne-au-Perche
6.2925975;44.3468788005174;node/5260171743;;Chabanon - Cinéma de Pays;;yes;;;;yes;;;;https://cinemadepays.wixsite.com/cinema;+33 9 63 04 56 52;;;;"04203";Selonnet
1.4773934;44.8978460004777;node/1811701993;"366992";Le Paris;Cinéode;;;;;;"2";"344";;https://www.cineode.fr/le-paris;;;Q97017093;;"46309";Souillac
3.70975086865335;43.9364563009463;way/73452203;"172662";L'Arc en ciel;Cinéode;yes;;;;no;"1";"166";;https://www.cineode.fr/l-arc-en-ciel;+33 4 67 50 92 23;https://www.facebook.com/Cinéma-Arc-en-ciel-Ganges-1900157200279004;Q97017093;;"34111";Ganges
2.3876204;48.7098101997643;node/632214644;"27573";Salle Lino Ventura;;;;;;yes;"1";"175";;http://mairie-athis-mons.fr/?p=cinema&ctn=salle-lino-ventura;;;;;"91027";Athis-Mons
6.653724;44.3869111005151;node/940715963;"38931";Ciné Ubaye;;;;;;yes;"2";"260";;;;;;;"04019";Barcelonnette
-3.98418634489831;48.7247120289226;way/72074326;"343321";Cinéma Sainte-Barbe;;;;;;;;;;https://www.cinemasaintebarbe.fr/;+33 2 98 61 19 23;https://www.facebook.com/cinema.saintebarbe/;Q61860629;;"29239";Roscoff
2.1928966;48.8128891997387;node/2032222298;"108192";Atrium;;;;;;;"1";;;;;;;;"92022";Chaville
4.596939;45.8116192003707;node/6077281381;"349322";Le Strapontin;;;;;;yes;"1";"199";;http://www.le-strapontin.com;;https://www.facebook.com/CcaLeStrapontin;Q61859980;;"69171";Sain-Bel
5.16798948681314;48.7687226407836;way/997796223;;Cinéma Confluences;;;;;;;"5";;;https://www.cinema-confluences.com/bar-le-duc/;+33 3 29 79 05 06;;;;"55029";Bar-le-Duc
0.4082827;47.326990200092;node/1854823073;"215502";Jean Hugues Anglade;;;;;;yes;"1";"189";;http://cine-off.fr/salle/langeais/;;;;;"37123";Langeais
2.32370145419392;43.7197855231357;way/276840787;"275751";Ciné Select;;;;;;;;;;;;;;;"81182";Montredon-Labessonnié
7.2606624;43.7093360005398;node/5457002083;"290388";Pathé Gare du Sud;Pathé Gaumont;;;;;yes;"9";"1537";;https://www.cinemaspathegaumont.com/cinemas/cinema-pathe-gare-du-sud;+33 892 696 696;PatheGareDuSud;Q97312756;"52847068500025";"06088";Nice
2.3537862;48.8335350997336;node/321012070;"8621";Pathé Les Fauvettes;Pathé Gaumont;yes;;;;no;"5";"638";;https://www.cinemaspathegaumont.com/cinemas/cinema-pathe-les-fauvettes;;;Q42296592;;"75056";Paris
-0.572425290986582;44.8392079226351;way/79758097;"63411";Utopia Bordeaux;Utopia;;;;;;;;;https://www.cinemas-utopia.org/bordeaux/;+33 5 56 52 00 03;https://www.facebook.com/UtopiaBordeaux/;Q56760974;;"33063";Bordeaux
-3.157743;47.3470674000876;node/2130321484;"302453";Cinéma Rex;;;;;;;;;;;;;;;"56152";Le Palais
6.0789451;49.0758297996736;node/5398266550;"25571";Cinéma Union;;;;;;;"1";;;http://union.ars.free.fr/;;;;;"57032";Ars-sur-Moselle
2.3376897;48.8825566997214;node/5927447654;;Atlas;;;;;;;"2";;;;;;;;"75056";Paris
2.5232561;48.9899972996948;node/2511594625;"433975";Pathé Aéroville;Pathé Gaumont;;;;;;"12";"2380";;https://www.cinemaspathegaumont.com/cinemas/cinema-pathe-aeroville;;;Q61859086;"45084965800031";"93073";Tremblay-en-France
5.3832492;43.2862517005414;node/558576297;"249563";Le César;;;;;;no;"3";"458";;;;;Q42295036;;"13055";Marseille
-0.0500364;43.0950838005386;node/3511118228;"234296";Le Pax;;;;;;;;;;;;;;;"65286";Lourdes
1.6881614;43.7718736005387;node/245924281;"417332";Le Séjéfy's;;;;;;;"1";"167";;;;sejefys;Q61859966;"39969192200112";"81271";Saint-Sulpice-la-Pointe
-0.2139637;42.9559931005354;node/452913983;"25179";Cinéma du Val d'Azun;;yes;;;;;;;;;+33 5 62 97 02 54;;;;"65032";Arrens-Marsous
5.4335668;47.803954499984;node/461152169;"94711";Familial;;;;;;no;"1";"393";;;;;;;"52093";Chalindrey
4.8497906;46.7830596002047;node/7688747251;"95044";Megarama Axel;Megarama;no;;;;yes;"4";"722";;http://axel.megarama.fr/;+33 3 85 93 33 12;;Q61858743;"06350268600056";"71076";Chalon-sur-Saône
2.2287072;48.8705515997244;node/27091941;"370411";Le Capitole;;limited;Mo-Su 13:00-23:00;;;;;;;http://cinema-lecapitole.com/;;;Q61859584;;"92073";Suresnes
4.9557118;45.7688223003768;node/1798245104;"136753";Le Toboggan;;;;;;yes;"1";"144";;;;;;;"69275";Décines-Charpieu
6.26637055102989;45.2129773817956;way/164665936;"392710";Les Aiguilles;;;;;;;;;;;;;;;"73242";Saint-Jean-d'Arves
2.1955006;48.8621242997265;node/1862159001;"347175";Ariel Hauts-de-Rueil;;yes;;;;;;;;https://www.cinerueil.fr/ariel-hauts-de-rueil/;;;;;"92063";Rueil-Malmaison
-0.457215749260982;49.3351651641077;way/280966911;"125513";Cinéma de la Gare;;;;;;;"1";"240";;https://www.cinemadelagare.fr/;+33 2 31 37 41 30;;Q42294979;;"14191";Courseulles-sur-Mer
3.28782342622837;48.1765705258768;way/343882617;"359772";Cinéma Confluences;;;;;;no;"7";"1340";;;;;;;"89387";Sens
55.2900217807857;-20.9354990520188;way/64489666;no;Le Casino;;;;;;;;;;;;;;;"97407";Le Port
0.5323483;49.5176147995655;node/5005856621;"227982";Juliobona;;;;;;no;"1";"377";;;;;;;"76384";Lillebonne
6.0789986;44.5592915005043;node/2190134611;"172743";Le Centre;;no;;;;no;"1";"274";;;;;;;"05061";Gap
-1.33515063914375;47.2704262424395;way/81705849;"99631";Cinéma Jacques Demy;;;;;;yes;"1";"189";;http://cinema-la-chapelle-basse-mer.fr/memo/index.php;+33 2 40 33 32 55;;;;"44029";Divatte-sur-Loire
6.1746899;45.8865913003597;node/7734583159;;Cinémathèque des Pays de Savoie et de l'Ain;Écran mobile 74;yes;"Jul-Oct We 14:30-17:00; Nov-Jun ""Sur rendez-vous""";;;;"1";"37";;https://www.letelepherique.org/;+33 4 50 23 51 09;cinematheque.letelepherique;Q97670807;;"74299";Veyrier-du-Lac
6.9316474;44.2265303005235;node/1957080454;"384051";Le Riounet;Cinéode;;;;;no;"1";"250";;https://www.cineode.fr/le-riounet/;;;Q97017093;;"06120";Saint-Étienne-de-Tinée
2.3344487;48.8706555997244;node/687044630;"321";Gaumont Opéra Premier;Pathé Gaumont;yes;;;;;;;;https://www.cinemaspathegaumont.com/cinemas/cinema-pathe-opera;;;Q42296156;;"75056";Paris
0.31888;42.8153387005311;node/1141945813;"396502";Le Lary;;;;;;;;;;;;;Q61859812;;"65388";Saint-Lary-Soulan
-1.69633248543399;43.3629596979484;way/72579181;"438001";Itsas Mendi;;;;;;no;"1";"229";;https://www.cinema-itsasmendi.org/;+33 5 59 24 37 45;;;;"64545";Urrugne
3.37801938571142;49.5972804929191;way/83208787;"390271";Ermitage;;;;;;yes;"1";"281";;;;;;;"02680";Saint-Gobain
1.61302883611828;43.1167010984379;way/91399408;"302933";Les toiles du Rex;;;;;;;"2";;;http://cinerexpamiers.com;;;;;"09225";Pamiers
2.91760586208311;42.6662369718302;way/81554098;"307543";Méga Castillet;;yes;;;;;;;voice_description;https://www.cine-movida.com/;+33 4 68286738;;;;"66136";Perpignan
2.88393323940523;43.9556678360221;way/66308450;"371131";Le Moderne;;;;;;no;"2";;;;;;Q61859850;;"12208";Saint-Affrique
-1.16599720898807;45.7961115488981;way/123932106;"433913";Le Cristal;;;"PH,Mo-Su 11:30-23:00";;;no;"1";"259";;;;;;;"17452";La Tremblade
-1.44869464560095;46.3468236696566;way/109623430;"432661";Cinéma Agnès Varda;;;;;;;"2";"266";;http://cine-agnesvarda.fr/;;;;;"85294";La Tranche-sur-Mer
2.45874282857478;48.7801736805242;way/62413968;"720300";UGC Ciné Cité Créteil;UGC;;;;;;"18";;voice_description;https://www.ugc.fr/cinema.html?id=21;;https://fr-fr.facebook.com/UGCcinecite.Creteil/;Q1643241;;"94028";Créteil
3.93637846911094;43.5844629625566;way/82415767;"219191";Méga CGR;CGR;yes;10:30-22:45;;;yes;"12";;;https://www.cgrcinemas.fr/lattes;+33 8 92 68 85 88;;Q2931406;;"34129";Lattes
-0.0454661;43.0982577005387;node/7608593443;"234297";Le Majestic;;no;;;;;;;;http://lcilourdes.free.fr/cinema.majestic.lourdes;+33 5 62 94 07 73;;;;"65286";Lourdes
0.382958146244331;45.7411878878515;way/75385969;"339713";La Halle aux Grains;;;;;;;;;;;;;;;"16281";La Rochefoucauld-en-Angoumois
2.30246723911991;48.9566374253568;way/70172485;"148324";Méga CGR;CGR;;Mo-Su 10:30-22:30;;;;;;;https://www.cgrcinemas.fr/epinay/;;;Q2931406;;"93031";Épinay-sur-Seine
0.9800007;47.4105629000736;node/461685636;"16803";Ciné A;;;;;;yes;"2";"354";;https://cinemaamboise.com/;+33 2 47 57 30 35;;;;"37003";Amboise
-0.25715836854909;49.2770435842438;way/112229866;"300801";Michel Cabieu;;;"""aux horaires des séances """;;;;;;;;+33 2 31973952;;;;"14488";Ouistreham
3.4558493;49.983950099456;node/7831646897;"59351";Cinéma Louis Jouvet;;;;;;yes;"1";"132";;http://www.bohainenvermandois.fr/-Cinema-79-.html;+33 3 23 07 13 12;Cinéma-Louis-Jouvet-819159254807898;Q61860124;;"02095";Bohain-en-Vermandois
2.2918451;49.8943362994765;node/4210410066;"17303";Cinéma Orson Welles;;;;;;no;"1";"175";;;;;;;"80021";Amiens
6.6935495;45.4560203004183;node/4467726203;"96641";Le Rhodo;;;;;;;;;;;;;;;"73071";Champagny-en-Vanoise
4.8291163;43.7889142005384;node/822084645;"414162";Ciné Palace;;;;;;no;"1";"190";;;;;;;"13100";Saint-Rémy-de-Provence
6.0522409;48.8831191997213;node/5555907174;"58272";Ciné Vilar;;;;;;;"1";;;;;;;;"54079";Blénod-lès-Pont-à-Mousson
-1.3987604;43.3603879005418;node/1826832820;"82961";L'Aiglon;MHD & Lolo;;;;;yes;"1";"110";;;;;;;"64160";Cambo-les-Bains
-1.92694342996412;46.6990207667537;way/88932841;"390024";Ciné Marine;;;;;;yes;"4";"763";;https://www.cine-marine.com/;;;;;"85222";Saint-Gilles-Croix-de-Vie
-0.074314999590821;49.3050888761761;way/443593201;"198581";Cinéma du Casino;Noe Cinémas;;;;;;;;;;;;;;"14338";Houlgate
-0.5869072;46.7244025002161;node/1992972292;"266292";Le Stella;;;;;;yes;"1";"295";;;;;;;"79179";Moncoutant-sur-Sèvre
2.2498194;50.7510177992946;node/1394309845;"407871";Ociné;;;;;no;yes;"9";"1546";;;;;;;"62765";Saint-Omer
2.5529809;48.8487190997298;node/314749657;"292377";Le Bijou;;yes;;;;;"3";;voice_description;https://www.cinema-lebijou.fr/;+33 1 45 92 76 89;;;;"93051";Noisy-le-Grand
